"Institution Name","Administrative Unit Number","School Branch","Category","Status","Phone Number","Phone_Number_Extn","Web_Address","County","City","Primary Administrator","School Year"
"Central Michigan University","408002871","0","Non-Approved Out of State College and University","Open","(989) 774-4000",,"http://www.cmich.edu","Out-of-State",,,"SY2223"
"Central Penn College","415210357","0","Private College and University","Open","(800) 759-2727",,"https://www.centralpenn.edu","Cumberland",,"Dr Linda   Fedrizzi-Williams , Chief Executive Officer","SY2223"
"Central Penn College","415210357","0","Private Licensed School","Open","(800) 759-2727",,"https://www.centralpenn.edu","Cumberland",,"Dr Linda   Fedrizzi-Williams , Chief Executive Officer","SY2223"
"Central Penn College","415210357","0","Private Two-Year College","Open","(800) 759-2727",,"https://www.centralpenn.edu","Cumberland",,"Dr Linda   Fedrizzi-Williams , Chief Executive Officer","SY2223"
"Central Pennsylvania Diesel Institute","421399729","0","Private Licensed School","Open","(717) 444-3134",,"http://www.cpdiesel.com/","Perry",,"Mr Alan   Yoder , Chief Executive Officer","SY2223"
"Central Pennsylvania Institute of Science and Technology","410146139","0","Private Licensed School","Open","(814) 359-2793",,"http://www.cpi.edu","Centre",,"Mr Todd   Taylor , Chief Executive Officer","SY2223"
"Central State University","494006572","0","Non-Approved Out of State College and University","Open","(937) 376-6011",,"http://www.centralstate.edu","Out-of-State",,,"SY2223"
"Central Washington University","470008937","0","Non-Approved Out of State College and University","Open","(509) 963-1111",,"http://www.cwu.edu","Out-of-State",,,"SY2223"
"Central Yeshiva Tomchei Tmimim Lubavitz","412003888","0","Non-Approved Out of State College and University","Open","(718) 434-0784",,,"Out-of-State",,,"SY2223"
"Centre College","488008758","0","Non-Approved Out of State College and University","Open","(859) 238-5200",,"http://www.centre.edu","Out-of-State",,,"SY2223"
"Centura College","426008969","0","Non-Approved Out of State College and University","Open",,,"http://www.centuracollege.edu","Out-of-State",,,"SY2223"
"Chadron State College","485007758","0","Non-Approved Out of State College and University","Open","(308) 432-6000",,"http://www.csc.edu","Out-of-State",,,"SY2223"
"Chamberlain College of Nursing - Addison Campus","407005518","0","Non-Approved Out of State College and University","Open","(630) 953-3680",,"http://www.chamberlain.edu","Out-of-State",,,"SY2223"
"Chamberlain College of Nursing - Columbus Campus","438004773","0","Non-Approved Out of State College and University","Open","(614) 252-8890",,"http://www.chamberlain.edu","Out-of-State",,,"SY2223"
"Chamberlain College of Nursing - Phoenix Campus","429004889","0","Non-Approved Out of State College and University","Open","(602) 331-2720",,"http://www.chamberlain.edu","Out-of-State",,,"SY2223"
"Chamberlain College of Nursing - St Louis Campus","419007418","0","Non-Approved Out of State College and University","Open","(314) 991-6200",,"http://www.chamberlain.edu","Out-of-State",,,"SY2223"
"Chamberlain College of Nursing-Jacksonville Campus","410005331","0","Non-Approved Out of State College and University","Open","(904) 251-8110",,"http://www.chamberlain.edu","Out-of-State",,,"SY2223"
"Chaminade University of Honolulu","479009847","0","Non-Approved Out of State College and University","Open","(808) 735-4711",,"http://www.chaminade.edu","Out-of-State",,,"SY2223"
"Champlain College","442006759","0","Non-Approved Out of State College and University","Open","(802) 860-2700",,"http://www.champlain.edu","Out-of-State",,"Dr Monique M Taylor , Academic Affairs","SY2223"
"Chancellor University","408008523","0","Non-Approved Out of State College and University","Open","(216) 391-6937",,"http://www.ChancellorU.edu","Out-of-State",,,"SY2223"
"Chapman University","444001040","0","Non-Approved Out of State College and University","Open","(714) 997-6815",,"http://www.chapman.edu","Out-of-State",,,"SY2223"
"Charles R Drew University of Medicine and Science","450007603","0","Non-Approved Out of State College and University","Open","(323) 563-4800",,"http://www.cdrewu.edu","Out-of-State",,,"SY2223"
"Charleston School of Law","438000854","0","Non-Approved Out of State College and University","Open","(843) 329-1000",,"http://www.charlestonlaw.edu/","Out-of-State",,,"SY2223"
"Charleston Southern University","448004620","0","Non-Approved Out of State College and University","Open","(843) 863-7000",,"http://www.csuniv.edu","Out-of-State",,,"SY2223"
"Charlotte School of Law","431000827","0","Non-Approved Out of State College and University","Open","(704) 971-8546",,"http://www.charlottelaw.edu","Out-of-State",,,"SY2223"
"Charter College","486003486","0","Non-Approved Out of State College and University","Open","(907) 277-1000",,"http://www.chartercollege.edu","Out-of-State",,,"SY2223"
"Charter Oak State College","480002006","0","Non-Approved Out of State College and University","Open","(860) 832-3800",,"http://www.cosc.edu","Out-of-State",,,"SY2223"
"Chatham University","402021204","0","Private College and University","Open","(412) 365-1100",,"https://www.chatham.edu","Allegheny",,"Dr Rhonda   Phillips , Chief Executive Officer","SY2223"
"Chester College of New England","477004243","0","Non-Approved Out of State College and University","Open","(603) 887-4401",,"http://www.chestercollege.edu","Out-of-State",,,"SY2223"
"Chestnut Hill College","426511304","0","Private College and University","Open","(215) 248-7000",,"https://www.chc.edu","Philadelphia",,"Sr Carol Jean   Vale, SSJ, Ph.D. , Chief Executive Officer","SY2223"
"Cheyney University of PA","425231320","0","State University","Open","(610) 399-2000",,"https://www.cheyney.edu","Delaware",,"Mr Aaron A Walton , Chief Executive Officer","SY2223"
"Chicago State University","498002732","0","Non-Approved Out of State College and University","Open","(773) 995-2000",,"http://www.csu.edu","Out-of-State",,,"SY2223"
"Chicago Theological Seminary","415004127","0","Non-Approved Out of State College and University","Open","(773) 752-5757",,"http://www.ctschicago.edu","Out-of-State",,,"SY2223"
"Appalachian State University","446003750","0","Non-Approved Out of State College and University","Open","8282622000",,"http://www.appstate.edu/","Out-of-State",,,"SY2324"
"Children's Dental Health Dental Assistant School","422151209","0","Private Licensed School","Open","(844) 400-2341",,"https://cdhdentalassistant.com/","Chester",,"Ms Brook L Murphy , Director","SY2223"
"Chipola College","438003987","0","Non-Approved Out of State College and University","Open","(850) 526-2761",,"http://www.chipola.edu","Out-of-State",,,"SY2223"
"Chowan University","476006407","0","Non-Approved Out of State College and University","Open","(252) 398-6500",,"http://www.chowan.edu/","Out-of-State",,,"SY2223"
"Christ the King Seminary","449004968","0","Non-Approved Out of State College and University","Open",,,"http://www.cks.edu","Out-of-State",,,"SY2223"
"Christ the Saviour Seminary","408111355","0","Theological Seminary","Open","(814) 539-0116",,"https://www.acrod.org/organizations/seminary","Cambria",,"Rev Frank   Miloro , Chief Executive Officer","SY2223"
"Christian Brothers University","410009783","0","Non-Approved Out of State College and University","Open","(901) 321-3000",,"http://www.cbu.edu","Out-of-State",,,"SY2223"
"Christian Life College","432003372","0","Non-Approved Out of State College and University","Open",,,"http://www.christianlifecollege.edu","Out-of-State",,,"SY2223"
"Christian Theological Seminary","474002692","0","Non-Approved Out of State College and University","Open","(317) 924-1331",,"http://www.cts.edu","Out-of-State",,,"SY2223"
"Christopher Newport University","473003225","0","Non-Approved Out of State College and University","Open","(757) 594-7000",,"http://www.cnu.edu","Out-of-State",,,"SY2223"
"Church Divinity School of the Pacific","469008213","0","Non-Approved Out of State College and University","Open","(510) 204-0700",,"http://www.cdsp.edu","Out-of-State",,,"SY2223"
"Cincinnati Christian University","475005859","0","Non-Approved Out of State College and University","Open","(513) 244-8100",,"http://www.CCUniversity.edu","Out-of-State",,,"SY2223"
"Cincinnati College of Mortuary Science","407005705","0","Non-Approved Out of State College and University","Open","(513) 761-2020",,"http://WWW.CCMS.EDU","Out-of-State",,,"SY2223"
"Circadium","426510613","0","Private Licensed School","Open","(215) 849-1991",,"http://circadium.com/","Philadelphia",,"Ms Shana   Kennedy , Chief Executive Officer","SY2223"
"Citadel Military College of South Carolina","401000278","0","Non-Approved Out of State College and University","Open","(843) 225-3294",,"http://www.citadel.edu","Out-of-State",,,"SY2223"
"City College","400004439","0","Non-Approved Out of State College and University","Open","(954) 492-5353",,"http://www.citycollege.edu","Out-of-State",,,"SY2223"
"City College","478001928","0","Non-Approved Out of State College and University","Open",,,"http://www.citycollege.edu","Out-of-State",,,"SY2223"
"City College Branch Campus","419004339","0","Non-Approved Out of State College and University","Open","(352) 335-4000",,"http://www.citycollege.edu","Out-of-State",,,"SY2223"
"City University of Seattle","476004486","0","Non-Approved Out of State College and University","Open",,,"http://www.cityu.edu","Out-of-State",,,"SY2223"
"City Vision College","490000165","0","Non-Approved Out of State College and University","Open","(816) 960-2008",,"http://www.cityvision.edu","Out-of-State",,,"SY2223"
"Claflin University","497002994","0","Non-Approved Out of State College and University","Open","(803) 535-5000",,"http://www.claflin.edu","Out-of-State",,,"SY2223"
"Claremont Graduate University","467005674","0","Non-Approved Out of State College and University","Open","(909) 621-8000",,"http://www.cgu.edu","Out-of-State",,,"SY2223"
"Claremont McKenna College","453000808","0","Non-Approved Out of State College and University","Open","(909) 621-8000",,"http://www.claremontmckenna.edu/","Out-of-State",,,"SY2223"
"Claremont School of Theology","494009503","0","Non-Approved Out of State College and University","Open","(909) 447-2500",,"http://www.cst.edu","Out-of-State",,,"SY2223"
"Clarion Univ/Venango Campus","406161400","1010","State University","Open","(814) 676-6591",,"http://www.clarion.edu/239/","Venango","Clarion","Dr Dale-Elizabeth   Pehrsson , Chief Administrative Officer","SY2223"
"Clarion University of Pennsylvania / Main","406161400","0","State University","Open","(814) 393-2000",,"https://www.clarion.edu","Clarion",,"Dr Dale-Elizabeth   Pehrsson , Chief Executive Officer","SY2223"
"Clark Atlanta University","412001390","0","Non-Approved Out of State College and University","Open","(404) 880-8000",,"http://www.cau.edu","Out-of-State",,,"SY2223"
"Clark University","407002511","0","Non-Approved Out of State College and University","Open","(508) 793-7711",,"http://www.clarku.edu","Out-of-State",,,"SY2223"
"Clarke University","497009725","0","Non-Approved Out of State College and University","Open","(563) 588-6300",,"http://www.clarke.edu","Out-of-State",,,"SY2223"
"Clarks Summit University","419350454","0","Private College and University","Open","(570) 586-2400",,"https://www.clarkssummitu.edu/","Lackawanna",,"Dr James R Lytle , Chief Executive Officer","SY2223"
"Clarkson College","459002658","0","Non-Approved Out of State College and University","Open","(402) 552-3100",,"http://www.clarksoncollege.edu/","Out-of-State",,,"SY2223"
"Clarkson University","469002483","0","Non-Approved Out of State College and University","Open","(315) 268-6400",,"http://www.clarkson.edu","Out-of-State",,,"SY2223"
"Clayton  State University","484002266","0","Non-Approved Out of State College and University","Open","(678) 466-4000",,"http://www.clayton.edu","Out-of-State",,,"SY2223"
"Clear Creek Baptist Bible College","487005723","0","Non-Approved Out of State College and University","Open","(606) 337-3196",,"http://www.ccbbc.edu","Out-of-State",,,"SY2223"
"Clearwater Christian College","481000517","0","Non-Approved Out of State College and University","Open","(727) 726-1153",,"http://www.clearwater.edu","Out-of-State",,,"SY2223"
"Cleary University","480008167","0","Non-Approved Out of State College and University","Open","(800) 686-1883",,"http://www.cleary.edu","Out-of-State",,,"SY2223"
"Clemson University","488003668","0","Non-Approved Out of State College and University","Open","(864) 656-4636",,"http://www.clemson.edu","Out-of-State",,,"SY2223"
"Cleveland Chiropractic College","432006428","0","Non-Approved Out of State College and University","Open","(913) 234-0600",,"http://www.cleveland.edu","Out-of-State",,,"SY2223"
"Cleveland Chiropractic College of Los Angeles","453008006","0","Non-Approved Out of State College and University","Open","(323) 660-6166",,"http://www.cleveland.edu","Out-of-State",,,"SY2223"
"Cleveland Institute of Art","442000333","0","Non-Approved Out of State College and University","Open","(216) 421-7000",,"http://www.cia.edu","Out-of-State",,,"SY2223"
"Cleveland Institute of Music","498004649","0","Non-Approved Out of State College and University","Open","(216) 791-5000",,"http://www.cim.edu","Out-of-State",,,"SY2223"
"Cleveland State University","460001906","0","Non-Approved Out of State College and University","Open","(216) 687-2000",,"http://www.csuohio.edu/","Out-of-State",,,"SY2223"
"CNS Driver Training Center of PA","413362139","0","Private Licensed School","Open","(717) 496-9145",,"https://www.cnstrains.com/","Lancaster","Lititz","Mr Jolyn   Graham , Director","SY2223"
"Coastal Carolina University","456008415","0","Non-Approved Out of State College and University","Open","(843) 347-3161",,"http://www.coastal.edu","Out-of-State",,,"SY2223"
"Coe College","401006554","0","Non-Approved Out of State College and University","Open","(319) 399-8000",,"http://www.coe.edu","Out-of-State",,,"SY2223"
"Cogswell Polytechnical College","426002795","0","Non-Approved Out of State College and University","Open","(408) 541-0100",,"http://www.cogswell.edu","Out-of-State",,,"SY2223"
"Coker College","449000510","0","Non-Approved Out of State College and University","Open","(843) 383-8000",,"http://www.coker.edu","Out-of-State",,,"SY2223"
"Colby College","424001811","0","Non-Approved Out of State College and University","Open","(207) 859-4000",,"http://www.colby.edu","Out-of-State",,,"SY2223"
"Colby-Sawyer College","420006286","0","Non-Approved Out of State College and University","Open","(603) 526-3000",,"http://www.colby-sawyer.edu","Out-of-State",,,"SY2223"
"Colegio Pentecostal Mizpa","487000930","0","Non-Approved Out of State College and University","Open","(787) 720-4476",,"http://www.colmizpa.edu","Out-of-State",,,"SY2223"
"Colegio Universitario de San Juan","439005047","0","Non-Approved Out of State College and University","Open","(787) 480-2400",,"http://www.cunisanjuan.edu","Out-of-State",,,"SY2223"
"Coleman University","402008434","0","Non-Approved Out of State College and University","Open",,,"http://www.coleman.edu","Out-of-State",,,"SY2223"
"Colgate Rochester Crozer Divinity School","400005142","0","Non-Approved Out of State College and University","Open","(585) 271-1320",,"http://www.crcds.edu","Out-of-State",,,"SY2223"
"Colgate University","446000751","0","Non-Approved Out of State College and University","Open","(315) 228-1000",,"http://www.colgate.edu","Out-of-State",,,"SY2223"
"College America","438009430","0","Non-Approved Out of State College and University","Open",,,"http://www.collegeamerica.edu","Out-of-State",,,"SY2223"
"College America-Cheyenne","484006410","0","Non-Approved Out of State College and University","Open","(307) 637-2044",,"http://www.collegeamerica.edu","Out-of-State",,,"SY2223"
"College America-Colorado Springs","426008567","0","Non-Approved Out of State College and University","Open",,,,"Out-of-State",,,"SY2223"
"College America-Denver","495001176","0","Non-Approved Out of State College and University","Open","(303) 300-8740",,"http://www.collegeamerica.edu","Out-of-State",,,"SY2223"
"College America-Fort Collins","474006406","0","Non-Approved Out of State College and University","Open","(970) 225-4860",,"http://www.collegeamerica.edu","Out-of-State",,,"SY2223"
"College for Creative Studies","415009138","0","Non-Approved Out of State College and University","Open","(313) 664-7400",,"http://www.collegeforcreativestudies.edu","Out-of-State",,,"SY2223"
"College of Biblical Studies-Houston","400009717","0","Non-Approved Out of State College and University","Open","(713) 785-5995",,"http://www.cbshouston.edu","Out-of-State",,,"SY2223"
"College of Central Florida","439002475","0","Non-Approved Out of State College and University","Open","(352) 873-5800",,"http://www.cf.edu","Out-of-State",,,"SY2223"
"College of Charleston","443007947","0","Non-Approved Out of State College and University","Open","(843) 953-5500",,"http://www.cofc.edu","Out-of-State",,,"SY2223"
"College of Coastal Georgia","457005850","0","Non-Approved Out of State College and University","Open","(912) 279-5713",,"http://www.ccga.edu","Out-of-State",,,"SY2223"
"College of Mount Saint Vincent","417000285","0","Non-Approved Out of State College and University","Open","(718) 405-3200",,"http://www.mountsaintvincent.edu","Out-of-State",,,"SY2223"
"College of Mount St. Joseph","406008607","0","Non-Approved Out of State College and University","Open","(513) 244-4200",,"http://www.msj.edu","Out-of-State",,,"SY2223"
"College of Notre Dame of Maryland","446008845","0","Non-Approved Out of State College and University","Open","(410) 435-0100",,"http://www.ndm.edu","Out-of-State",,,"SY2223"
"College of Our Lady of the Elms","426004439","0","Non-Approved Out of State College and University","Open","(413) 594-2761",,"http://www.elms.edu","Out-of-State",,,"SY2223"
"College of Saint Benedict","425008717","0","Non-Approved Out of State College and University","Open","(320) 363-5011",,"http://www.csbsju.edu","Out-of-State",,,"SY2223"
"College of Saint Elizabeth","410009129","0","Non-Approved Out of State College and University","Open","(973) 290-4000",,"http://www.cse.edu","Out-of-State",,,"SY2223"
"College of Saint Mary","404004213","0","Non-Approved Out of State College and University","Open","(402) 399-2400",,"http://WWW.CSM.EDU","Out-of-State",,,"SY2223"
"College of Southern Nevada","460005112","0","Non-Approved Out of State College and University","Open","(702) 651-5000",,"http://www.csn.edu","Out-of-State",,,"SY2223"
"College of St Joseph","475004621","0","Non-Approved Out of State College and University","Open",,,"http://www.csj.edu","Out-of-State",,,"SY2223"
"College of St. Mary Magdalen","437000396","0","Non-Approved Out of State College and University","Open","(603) 456-2656",,"http://www.magdalen.edu","Out-of-State",,,"SY2223"
"College of the Atlantic","454006661","0","Non-Approved Out of State College and University","Open","(207) 288-5015",,"http://www.coa.edu","Out-of-State",,,"SY2223"
"College of the Holy Cross","477001653","0","Non-Approved Out of State College and University","Open","(508) 793-2011",,"http://www.holycross.edu","Out-of-State",,,"SY2223"
"College of the Ozarks","467005027","0","Non-Approved Out of State College and University","Open","(417) 334-6411",,"http://www.cofo.edu","Out-of-State",,,"SY2223"
"College of Visual Arts","497001921","0","Non-Approved Out of State College and University","Open","(651) 757-4000",,"http://www.cva.edu","Out-of-State",,,"SY2223"
"College of William and Mary","468007275","0","Non-Approved Out of State College and University","Open","(757) 221-4000",,"http://www.wm.edu","Out-of-State",,,"SY2223"
"Collins College","436005503","0","Non-Approved Out of State College and University","Open","(480) 966-3000",,"http://www.collinscollege.edu","Out-of-State",,,"SY2223"
"Colorado Christian University","400002428","0","Non-Approved Out of State College and University","Open","(303) 963-3000",,"http://WWW.CCU.EDU","Out-of-State",,,"SY2223"
"Colorado College","494007666","0","Non-Approved Out of State College and University","Open","(719) 389-6000",,"http://www.coloradocollege.edu","Out-of-State",,,"SY2223"
"Colorado Heights University","442006251","0","Non-Approved Out of State College and University","Open","(303) 937-4200",,"http://WWW.CHU.EDU","Out-of-State",,,"SY2223"
"Colorado School of Mines","471002491","0","Non-Approved Out of State College and University","Open","(303) 273-3000",,"http://www.mines.edu","Out-of-State",,,"SY2223"
"Colorado School of Traditional Chinese Medicine","463007778","0","Non-Approved Out of State College and University","Open","(303) 329-6355",,"http://www.cstcm.edu","Out-of-State",,,"SY2223"
"Colorado State University","467006833","0","Non-Approved Out of State College and University","Open","(970) 491-1101",,"http://www.colostate.edu","Out-of-State",,,"SY2223"
"Colorado State University-Pueblo","429000513","0","Non-Approved Out of State College and University","Open","(719) 549-2100",,"http://www.colostate-pueblo.edu","Out-of-State",,,"SY2223"
"Colorado Technical University","416009340","0","Non-Approved Out of State College and University","Open","(303) 694-6600",,"http://www.coloradotech.edu","Out-of-State",,,"SY2223"
"Colorado Technical University","444002404","0","Non-Approved Out of State College and University","Open","(605) 361-0200",,"http://www.coloradotech.edu","Out-of-State",,,"SY2223"
"Colorado Technical University","466000379","0","Non-Approved Out of State College and University","Open","(816) 303-7799",,"http://www.kc.coloradotech.edu","Out-of-State",,,"SY2223"
"Colorado Technical University","484008902","0","Non-Approved Out of State College and University","Open","(719) 598-0200",,"http://www.coloradotech.edu","Out-of-State",,,"SY2223"
"Colorado Technical University Online","425004988","0","Non-Approved Out of State College and University","Open","(866) 813-1836",,"http://www.coloradotech.edu/CTU-Online","Out-of-State",,,"SY2223"
"Columbia Basin College","485009958","0","Non-Approved Out of State College and University","Open","(509) 547-0511",,"http://www.columbiabasin.edu","Out-of-State",,,"SY2223"
"Columbia Centro Universitario","418004565","0","Non-Approved Out of State College and University","Open","(787) 856-0845",,"http://www.columbiaco.edu","Out-of-State",,,"SY2223"
"Columbia Centro Universitario","464006263","0","Non-Approved Out of State College and University","Open",,,"http://www.columbiaco.edu","Out-of-State",,,"SY2223"
"Columbia College","430009503","0","Non-Approved Out of State College and University","Open","(573) 875-8700",,"http://www.ccis.edu","Out-of-State",,,"SY2223"
"Columbia College","477001639","0","Non-Approved Out of State College and University","Open","(803) 786-3012",,"http://www.columbiacollegesc.edu","Out-of-State",,,"SY2223"
"Columbia College Chicago","460004774","0","Non-Approved Out of State College and University","Open","(312) 663-1600",,"http://www.colum.edu","Out-of-State",,,"SY2223"
"Columbia College Hollywood","478007406","0","Non-Approved Out of State College and University","Open","(818) 345-8414",,"http://WWW.COLUMBIACOLLEGE.EDU","Out-of-State",,,"SY2223"
"Columbia International University","456006710","0","Non-Approved Out of State College and University","Open","(803) 754-4100",,"http://www.ciu.edu","Out-of-State",,,"SY2223"
"Columbia Southern University","433009128","0","Non-Approved Out of State College and University","Open",,,"http://www.columbiasouthern.edu","Out-of-State",,,"SY2223"
"Columbia Theological Seminary","458007214","0","Non-Approved Out of State College and University","Open","(404) 378-8821",,"http://WWW.CTSNET.EDU","Out-of-State",,,"SY2223"
"Columbia University in the City of New York","411004230","0","Non-Approved Out of State College and University","Open","(212) 854-1754",,"http://www.columbia.edu","Out-of-State",,,"SY2223"
"Columbus College of Art and Design","447009632","0","Non-Approved Out of State College and University","Open","(614) 224-9101",,"http://WWW.CCAD.EDU","Out-of-State",,,"SY2223"
"Columbus State University","445002693","0","Non-Approved Out of State College and University","Open","(706) 507-8800",,"http://www.colstate.edu","Out-of-State",,,"SY2223"
"Commonwealth Technical Institute","408111007","0","Private Licensed School","Open","(814) 254-0471",,"http://www.dli.pa.gov/Individuals/Disability-Services/hgac/cti","Cambria",,"Mr James   Thomas , Chief Executive Officer","SY2223"
"Commonwealth University","416197019","0","State University","Open","(570) 389-4000",,"www.commonwealthu.edu","Columbia",,"Dr Bashar W Hanna , Chief Executive Officer","SY2223"
"Community College of Allegheny County","402020952","0","Community College","Open","(412) 323-2323",,"https://www.ccac.edu","Allegheny",,"Dr Quintin B Bullock , Chief Executive Officer","SY2223"
"Community College of Beaver County","427041052","0","Community College","Open","(724) 775-8561",,"http://www.ccbc.edu","Beaver",,"Dr Roger W Davis , Chief Executive Officer","SY2223"
"Augsburg College","416002271","0","Non-Approved Out of State College and University","Open","6123301000",,"http://www.augsburg.edu","Out-of-State",,,"SY2324"
"Community College of Philadelphia","426512002","0","Community College","Open","(215) 751-8000",,"http://www.ccp.edu","Philadelphia",,"Dr Donald G Generals , Chief Executive Officer","SY2223"
"Community Kitchen Pittsburgh","402022219","0","Private Licensed School","Open","(412) 246-4736",,"http://www.ckpgh.org","Allegheny",,"Ms Toni   Simpson , Director","SY2223"
"Community Training Institute","401261049","0","Private Licensed School","Open","(724) 437-6050",,,"Fayette",,"Ms Susan   Wagner , Chief Executive Officer","SY2223"
"Conception Seminary College","480009511","0","Non-Approved Out of State College and University","Open","(660) 944-3105",,"http://www.conception.edu","Out-of-State",,,"SY2223"
"Concord University","475009368","0","Non-Approved Out of State College and University","Open","(888) 384-5249",,"http://www.concord.edu","Out-of-State",,,"SY2223"
"Concordia College at Moorhead","405007587","0","Non-Approved Out of State College and University","Open","(218) 299-4100",,"http://www.cord.edu","Out-of-State",,,"SY2223"
"Concordia College-New York","433007562","0","Non-Approved Out of State College and University","Open","(914) 337-9300",,"http://www.concordia-ny.edu","Out-of-State",,,"SY2223"
"Concordia College-Selma","447005039","0","Non-Approved Out of State College and University","Open","(334) 526-9141",,"http://www.concordiaselma.edu","Out-of-State",,,"SY2223"
"Concordia Seminary","431003056","0","Non-Approved Out of State College and University","Open","(314) 505-7000",,"http://www.csl.edu","Out-of-State",,,"SY2223"
"Concordia Theological Seminary","467007435","0","Non-Approved Out of State College and University","Open","(260) 452-2100",,"http://www.ctsfw.edu","Out-of-State",,,"SY2223"
"Concordia University","412005991","0","Non-Approved Out of State College and University","Open","(800) 535-5494",,"http://www.cune.edu","Out-of-State",,,"SY2223"
"Concordia University","417005343","0","Non-Approved Out of State College and University","Open","(503) 288-9371",,"http://www.cu-portland.edu","Out-of-State",,,"SY2223"
"Concordia University","458000487","0","Non-Approved Out of State College and University","Open","(949) 854-8002",,"http://www.cui.edu","Out-of-State",,,"SY2223"
"Concordia University","497001810","0","Non-Approved Out of State College and University","Open","(708) 771-8300",,"http://www.cuchicago.edu","Out-of-State",,,"SY2223"
"Concordia University Texas","480003333","0","Non-Approved Out of State College and University","Open","(512) 313-3000",,"http://www.concordia.edu","Out-of-State",,,"SY2223"
"Concordia University-Ann Arbor","433000617","0","Non-Approved Out of State College and University","Open","(734) 995-7300",,"http://www.cuaa.edu","Out-of-State",,,"SY2223"
"Concordia University-Saint Paul","492003476","0","Non-Approved Out of State College and University","Open","(651) 641-8278",,"http://www.csp.edu","Out-of-State",,,"SY2223"
"Concordia University-Wisconsin","440007824","0","Non-Approved Out of State College and University","Open","(262) 243-5700",,"http://www.cuw.edu","Out-of-State",,,"SY2223"
"Connecticut College","487007553","0","Non-Approved Out of State College and University","Open","(860) 447-1911",,"http://www.connecticutcollege.edu","Out-of-State",,,"SY2223"
"Contemporary Health Career Institute, Inc.","424151219","0","Private Licensed School","Open","(610) 363-9170",,"http://www.CHCIcareer.com","Chester",,"Mr Jeffrey   Scharf , Chief Executive Officer","SY2223"
"Converse College","467005449","0","Non-Approved Out of State College and University","Open","(864) 596-9000",,"http://www.converse.edu","Out-of-State",,,"SY2223"
"Conway School of Landscape Design","437001234","0","Non-Approved Out of State College and University","Open","(413) 369-4044",,"http://www.csld.edu","Out-of-State",,,"SY2223"
"Cooper Union for the Advancement of Science and Art","444008124","0","Non-Approved Out of State College and University","Open","(212) 353-4100",,"http://www.cooper.edu","Out-of-State",,,"SY2223"
"Coppin State University","485004174","0","Non-Approved Out of State College and University","Open","(410) 951-3000",,"http://www.coppin.edu","Out-of-State",,,"SY2223"
"Corban University","468009345","0","Non-Approved Out of State College and University","Open","(503) 581-8600",,"http://www.corban.edu","Out-of-State",,,"SY2223"
"Corban University School of Ministry","488007573","0","Non-Approved Out of State College and University","Open","(253) 759-6104",,"http://www.nbs.edu","Out-of-State",,,"SY2223"
"Corcoran College of Art and Design","466007781","0","Non-Approved Out of State College and University","Open","(202) 639-1800",,"http://www.corcoran.edu","Out-of-State",,,"SY2223"
"Cornell College","469009366","0","Non-Approved Out of State College and University","Open","(319) 895-4000",,"http://www.cornellcollege.edu","Out-of-State",,,"SY2223"
"Cornell University","467004879","0","Non-Approved Out of State College and University","Open","(607) 255-2000",,"http://www.cornell.edu","Out-of-State",,,"SY2223"
"Cornerstone Dental Assistant Academy, LLC","400004150","0","Private Licensed School","Open","(724) 963-1231",,"http://cornerstonedentalassistantacademy.com","Allegheny",,"Ms Amanda   Newhouse , Director","SY2223"
"Cornerstone University","425004680","0","Non-Approved Out of State College and University","Open","(616) 949-5300",,"http://www.cornerstone.edu","Out-of-State",,,"SY2223"
"Cornish College of the Arts","400008970","0","Non-Approved Out of State College and University","Open","(206) 726-5016",,"http://www.cornish.edu","Out-of-State",,,"SY2223"
"Cortiva Institute","423467059","0","Private Licensed School","Open","(484) 690-1400",,"https://www.cortiva.edu/king-of-prussia-pa","Montgomery",,"Mr Nicholas   Liberatore , Director","SY2223"
"Covenant College","419003659","0","Non-Approved Out of State College and University","Open","(706) 820-1560",,"http://www.covenant.edu","Out-of-State",,,"SY2223"
"Covenant Theological Seminary","440009591","0","Non-Approved Out of State College and University","Open","(314) 434-4044",,"http://www.covenantseminary.edu","Out-of-State",,,"SY2223"
"Cox College","471007626","0","Non-Approved Out of State College and University","Open","(417) 269-3401",,"http://www.coxcollege.edu","Out-of-State",,,"SY2223"
"Cranbrook Academy of Art","452000477","0","Non-Approved Out of State College and University","Open","(248) 645-3300",,"http://www.cranbrook.edu","Out-of-State",,,"SY2223"
"Creighton University","487000142","0","Non-Approved Out of State College and University","Open","(402) 280-2700",,"http://www.creighton.edu","Out-of-State",,,"SY2223"
"Crossroads Bible College","428001533","0","Non-Approved Out of State College and University","Open",,,"http://www.crossroads.edu","Out-of-State",,,"SY2223"
"Crossroads College","478001677","0","Non-Approved Out of State College and University","Open","(507) 288-4563",,"http://www.crossroadscollege.edu","Out-of-State",,,"SY2223"
"Crowley's Ridge College","416001739","0","Non-Approved Out of State College and University","Open","(870) 236-6901",,"http://www.crc.edu/","Out-of-State",,,"SY2223"
"Crown College","421001924","0","Non-Approved Out of State College and University","Open","(952) 446-4100",,"http://www.crown.edu","Out-of-State",,,"SY2223"
"Culinary Institute of America","403006364","0","Non-Approved Out of State College and University","Open","(845) 452-9600",,"http://www.ciachef.edu","Out-of-State",,,"SY2223"
